Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,Report Title,"Activity Statement January 1, 2019 - December 31, 2019"
Statement,Data,-,(Capital Market Segment / Futures & Options Segment / Currency Derivatives Segment)
Statement,Data,-,Interactive Brokers (India) Private Limited
Statement,Data,-,MEMBER OF NATIONAL STOCK EXCHANGE OF INDIA LTD.
Statement,Data,-,"SEBI Registration No. INZ000217730, Trading Member Code No. 12880"
Statement,Data,-,Compliance Officer: Bina Shah; Contact: +91-22-61289800; Email: compliance.in@interactivebrokers.com
Statement,Data,-,"Registered & Dealing Off: 502/A, Times Square, Andheri Kurla Road, Andheri East, Mumbai 400059"
Statement,Data,-,Telephone: +91-22-61289888 Fax: +91-22-61289898
Statement,Data,-,Email for investor grievances: help.in@interactivebrokers.com
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,INR,HUL,-,300,1,1942.841068833,582852.32065,1923,576900,-5952.32065,
Open Positions,Data,Lot,Stocks,INR,HUL,"2019-12-26, 07:00:00",300,,1942.841068833,582852.32065,1923,576900,-5952.32065,ST
Open Positions,Total,,Stocks,INR,,,,,,582852.32065,,576900,-5952.32065,
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,INR,ACL,"2019-12-26, 07:00:00",-,"2,500",200,194.1,-500000,-42.775,500042.775,0,-14750,A;O
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-26, 07:00:00",--,"2,500",200,194.1,-500000,-42.775,500042.775,0,-14750,A;O
Trades,Data,Order,Stocks,INR,ACL,"2019-12-26, 07:00:00",-,"2,500",195,194.1,-487500,-42.295625,487542.295625,0,-2250,A;O
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-26, 07:00:00",--,"2,500",195,194.1,-487500,-42.295625,487542.295625,0,-2250,A;O
Trades,Data,Order,Stocks,INR,ACL,"2019-12-30, 23:05:15",-,"-5,000",195.75515,196.25,978775.75,-61.13605002,-973792.421874,4922.192073,-2474.25,C;L;P
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:15",NSE,-225,195.8,196.25,44055,-8.76950925,-44388.810562,-342.580072,-101.25,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,225,197.283602498,,,,44388.810562,-342.580072,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:15",NSE,-290,195.8,196.25,56782,-6.9963557,-57212.244725,-437.241081,-130.5,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,290,197.2836025,,,,57212.244725,-437.241081,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-25,195.75,196.25,4893.75,-0.76513731,-4932.090063,-39.1052,-12.5,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,25,197.28360252,,,,4932.090063,-39.1052,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-204,195.75,196.25,39933,-6.24352455,-40245.85491,-319.098435,-102,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,204,197.2836025,,,,40245.85491,-319.098435,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-50,195.75,196.25,9787.5,-1.53027563,-9864.180125,-78.210401,-25,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,50,197.2836025,,,,9864.180125,-78.210401,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,"-2,500",195.75,196.25,489375,-24.02428425,-489199.118668,151.857048,-1250,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,2500,195.679647467,,,,489199.118668,151.857048,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-206,195.75,196.25,40324.5,-1.54644458,-39600.073447,722.880108,-103,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,206,192.233366248,,,,39600.073447,722.880108,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-1,195.75,196.25,195.75,-0.00750701,-192.233366,3.509127,-0.5,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,1,192.233366,,,,192.233366,3.509127,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:17",NSE,-57,195.75,196.25,11157.75,-0.42789971,-10957.301876,200.020224,-28.5,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,57,192.233366246,,,,10957.301876,200.020224,,ST
Trades,Data,Trade,Stocks,INR,ACL,"2019-12-30, 23:05:18",NSE,"-1,442",195.75,196.25,282271.5,-10.82511203,-277200.514132,5060.160755,-721,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ACL,2019-12-26,,1442,192.23336625,,,,277200.514132,5060.160755,,ST
Trades,SubTotal,,Stocks,INR,ACL,,,0,,,-8724.25,-146.20667502,13792.648751,4922.192073,-19474.25,
Trades,Data,Order,Stocks,INR,ADANIPOWER,"2019-11-28, 07:00:00",-,"10,000",63,61.55,-630000,-47.7605,630047.7605,0,-14500,A;O
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-11-28, 07:00:00",--,"10,000",63,61.55,-630000,-47.7605,630047.7605,0,-14500,A;O
Trades,Data,Order,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",-,"-10,000",60.6,59.8,606000,-46.8401,-613102.830497,-7149.670601,8000,C;L;P
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,"-3,200",60.6,59.8,193920,-30.319392,-196192.90576,-2303.225152,2560,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,3200,61.31028305,,,,196192.90576,-2303.225152,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-1,60.6,59.8,60.6,-0.00947501,-61.310283,-0.719758,0.8,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,1,61.310283,,,,61.310283,-0.719758,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,"-1,000",60.6,59.8,60600,-3.034299,-61310.28305,-713.317349,800,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,1000,61.31028305,,,,61310.28305,-713.317349,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-6,60.6,59.8,363.6,-0.01394406,-367.861698,-4.275642,4.8,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,6,61.310283,,,,367.861698,-4.275642,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-100,60.6,59.8,6060,-0.232401,-6131.028305,-71.260706,80,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,100,61.31028305,,,,6131.028305,-71.260706,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-5,60.6,59.8,303,-0.01162005,-306.551415,-3.563035,4,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,5,61.310283,,,,306.551415,-3.563035,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,"-1,827",60.6,59.8,110716.2,-4.24596627,-112013.887132,-1301.933099,1461.6,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,1827,61.31028305,,,,112013.887132,-1301.933099,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,"-1,944",60.6,59.8,117806.4,-4.51787544,-119187.190249,-1385.308125,1555.2,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,1944,61.31028305,,,,119187.190249,-1385.308125,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-250,60.6,59.8,15150,-0.5810025,-15327.570762,-178.151765,200,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,250,61.310283048,,,,15327.570762,-178.151765,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-50,60.6,59.8,3030,-0.1162005,-3065.514152,-35.630353,40,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,50,61.31028304,,,,3065.514152,-35.630353,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-200,60.6,59.8,12120,-0.464802,-12262.05661,-142.521412,160,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,200,61.31028305,,,,12262.05661,-142.521412,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-877,60.6,59.8,53146.2,-2.03815677,-53769.118235,-624.956392,701.6,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,877,61.31028305,,,,53769.118235,-624.956392,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-50,60.6,59.8,3030,-0.1162005,-3065.514152,-35.630353,40,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,50,61.31028304,,,,3065.514152,-35.630353,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-25,60.6,59.8,1515,-0.05810025,-1532.757076,-17.815177,20,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,25,61.31028304,,,,1532.757076,-17.815177,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-25,60.6,59.8,1515,-0.05810025,-1532.757076,-17.815177,20,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,25,61.31028304,,,,1532.757076,-17.815177,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-100,60.6,59.8,6060,-0.232401,-6131.028305,-71.260706,80,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,100,61.31028305,,,,6131.028305,-71.260706,,ST
Trades,Data,Trade,Stocks,INR,ADANIPOWER,"2019-12-03, 00:45:51",NSE,-340,60.6,59.8,20604,-0.7901634,-20845.496237,-242.2864,272,C;L;P
Trades,Data,ClosedLot,Stocks,INR,ADANIPOWER,2019-11-28,,340,61.31028305,,,,20845.496237,-242.2864,,ST
Trades,SubTotal,,Stocks,INR,ADANIPOWER,,,0,,,-24000,-94.6006,16944.930003,-7149.670601,-6500,
Trades,Data,Order,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",-,"-13,000",49,49.55,637000,-48.02895,-636951.97105,0,-7150,A;O
Trades,Data,Trade,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",--,"-13,000",49,49.55,637000,-48.02895,-636951.97105,0,-7150,A;O
Trades,Data,Order,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",-,"-13,000",47,49.55,611000,-47.03185,-610952.96815,0,-33150,A;O
Trades,Data,Trade,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",--,"-13,000",47,49.55,611000,-47.03185,-610952.96815,0,-33150,A;O
Trades,Data,Order,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",-,"-13,000",48,49.55,624000,-47.5304,-623952.4696,0,-20150,A;O
Trades,Data,Trade,Stocks,INR,ALLBANK,"2019-06-27, 07:00:00",--,"-13,000",48,49.55,624000,-47.5304,-623952.4696,0,-20150,A;O
Trades,Data,Order,Stocks,INR,ALLBANK,"2019-07-03, 01:58:42",-,"39,000",49.85,48.95,-1944150,0,1876294.1183,-67855.8817,-35100,C;M
Trades,Data,Trade,Stocks,INR,ALLBANK,"2019-07-03, 01:58:42",NSE,"39,000",49.85,48.95,-1944150,0,1876294.1183,-67855.8817,-35100,C;M
Trades,Data,ClosedLot,Stocks,INR,ALLBANK,2019-06-27,,-39000,48.110105597,,,,-1876294.1183,-67855.8817,,ST
Trades,SubTotal,,Stocks,INR,ALLBANK,,,0,,,-72150,-142.5912,4436.7095,-67855.8817,-95550,
