Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,Report Title,"Activity Statement January 1, 2022 - December 31, 2022"
Statement,Data,-,(Capital Market Segment / Futures & Options Segment / Currency Derivatives Segment)
Statement,Data,-,Interactive Brokers (India) Private Limited
Statement,Data,-,MEMBER OF NATIONAL STOCK EXCHANGE OF INDIA LTD.
Statement,Data,-,"SEBI Registration No. INZ000217730, Trading Member Code No. 12880"
Statement,Data,-,Compliance Officer: Bina Shah; Contact: +91-22-61289800; Email: compliance.in@interactivebrokers.com
Statement,Data,-,"Registered & Dealing Off: 502/A, Times Square, Andheri Kurla Road, Andheri East, Mumbai 400059"
Statement,Data,-,Telephone: +91-22-61289888 Fax: +91-22-61289898
Statement,Data,-,Email for investor grievances: help.in@interactivebrokers.com
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,"2022-03-08, 01:48:28",-,-250,10.7,0.5,2675,-26.610445,-2648.389555,0,2550,O
Trades,Data,Trade,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,"2022-03-08, 01:48:28",NSE,-250,10.7,0.5,2675,-26.610445,-2648.389555,0,2550,O
Trades,Data,Order,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,"2022-03-31, 07:00:00",-,250,0,0,0,0,2648.389555,2648.389555,0,C;Ep
Trades,Data,Trade,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,"2022-03-31, 07:00:00",--,250,0,0,0,0,2648.389555,2648.389555,0,C;Ep
Trades,Data,ClosedLot,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,2022-03-08,,-250,10.59355822,,,,-2648.389555,2648.389555,,ST
Trades,SubTotal,,Equity and Index Options,INR,ACC 31MAR22 1600.0 P,,,0,,,2675,-26.610445,0,2648.389555,2550,
Trades,Data,Order,Equity and Index Options,INR,ALKEM 30JUN22 2800 P,"2022-06-28, 05:56:37",-,-200,3,3,600,-24.27524,-575.72476,0,0,O
Trades,Data,Trade,Equity and Index Options,INR,ALKEM 30JUN22 2800 P,"2022-06-28, 05:56:37",NSE,-200,3,3,600,-24.27524,-575.72476,0,0,O
Trades,Data,Order,Equity and Index Options,INR,ALKEM 30JUN22 2800 P,"2022-06-30, 07:00:00",-,200,0,0,0,0,575.72476,575.72476,0,C;Ep
Trades,Data,Trade,Equity and Index Options,INR,ALKEM 30JUN22 2800 P,"2022-06-30, 07:00:00",--,200,0,0,0,0,575.72476,575.72476,0,C;Ep
