Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 24, 2017 - December 29, 2017"
Statement,Data,WhenGenerated,"2024-02-24, 03:03:22 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,AGN,-,200,1,178.673765725,35734.753145,163.58,32716,-3018.753145,
Open Positions,Data,Lot,Stocks,USD,AGN,"2017-11-24, 16:20:00",200,,178.673765725,35734.753145,163.58,32716,-3018.753145,ST
Open Positions,Data,Summary,Stocks,USD,DG,-,-600,1,90.448356605,-54269.013963,93.01,-55806,-1536.986037,
Open Positions,Data,Lot,Stocks,USD,DG,"2017-12-15, 16:20:00",-600,,90.448356605,-54269.013963,93.01,-55806,-1536.986037,ST
Open Positions,Data,Summary,Stocks,USD,DHI,-,-1200,1,42.125172797,-50550.207356,51.07,-61284,-10733.792644,
Open Positions,Data,Lot,Stocks,USD,DHI,"2017-11-03, 16:20:00",-1200,,42.125172797,-50550.207356,51.07,-61284,-10733.792644,ST
Open Positions,Data,Summary,Stocks,USD,DLTR,-,-500,1,105.438010336,-52719.005168,107.31,-53655,-935.994832,
Open Positions,Data,Lot,Stocks,USD,DLTR,"2017-12-15, 16:20:00",-500,,105.438010336,-52719.005168,107.31,-53655,-935.994832,ST
Open Positions,Data,Summary,Stocks,USD,GE,-,200,1,19.88373777,3976.747554,17.45,3490,-486.747554,
Open Positions,Data,Lot,Stocks,USD,GE,"2017-11-24, 16:20:00",200,,19.88373777,3976.747554,17.45,3490,-486.747554,ST
Open Positions,Data,Summary,Stocks,USD,NTAP,-,-1000,1,50.214985918,-50214.985918,55.32,-55320,-5105.014082,
Open Positions,Data,Lot,Stocks,USD,NTAP,"2017-12-15, 16:20:00",-1000,,50.214985918,-50214.985918,55.32,-55320,-5105.014082,ST
Open Positions,Total,,Stocks,USD,,,,,,-168041.711706,,-189859,-21817.288294,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Equity and Index Options,USD,ADBE 12JAN18 145.0 P,-,-3,100,1.39503266,-418.509798,0.0116,-3.48,415.029798,
Open Positions,Data,Lot,Equity and Index Options,USD,ADBE 12JAN18 145.0 P,"2017-12-05, 09:33:07",-3,,1.39503266,-418.509798,0.0116,-3.48,415.029798,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADSK 02FEB18 95.0 P,-,-5,100,0.656249754,-328.124877,0.5116,-255.8,72.324877,
Open Positions,Data,Lot,Equity and Index Options,USD,ADSK 02FEB18 95.0 P,"2017-12-27, 14:40:25",-5,,0.656249754,-328.124877,0.5116,-255.8,72.324877,ST
Open Positions,Data,Summary,Equity and Index Options,USD,AGN 29DEC17 167.5 C,-,-2,100,0.526252755,-105.250551,0,0,105.250551,
Open Positions,Data,Lot,Equity and Index Options,USD,AGN 29DEC17 167.5 C,"2017-12-26, 13:56:45",-2,,0.526252755,-105.250551,0,0,105.250551,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ALXN 12JAN18 97.5 P,-,-5,100,0.620550678,-310.275339,0.6842,-342.1,-31.824661,
Open Positions,Data,Lot,Equity and Index Options,USD,ALXN 12JAN18 97.5 P,"2017-12-05, 10:23:37",-5,,0.620550678,-310.275339,0.6842,-342.1,-31.824661,ST
Open Positions,Data,Summary,Equity and Index Options,USD,AMAT 05JAN18 45.0 P,-,-11,100,0.325057377,-357.563115,0.0123,-13.53,344.033115,
