Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2024-02-24, 02:58:29 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,AIG,-,400,1,30.79318474,12317.273896,37.86,15144,2826.726104,
Open Positions,Data,Lot,Stocks,USD,AIG,"2020-08-14, 16:20:00",400,,30.79318474,12317.273896,37.86,15144,2826.726104,ST
Open Positions,Data,Summary,Stocks,USD,ALGN,-,-100,1,433.84693469,-43384.693469,534.38,-53438,-10053.306531,
Open Positions,Data,Lot,Stocks,USD,ALGN,"2020-11-05, 16:20:00",-100,,433.84693469,-43384.693469,534.38,-53438,-10053.306531,ST
Open Positions,Data,Summary,Stocks,USD,AMGN,-,200,1,236.50383535,47300.76707,229.92,45984,-1316.76707,
Open Positions,Data,Lot,Stocks,USD,AMGN,"2020-10-16, 16:20:00",200,,236.50383535,47300.76707,229.92,45984,-1316.76707,ST
Open Positions,Data,Summary,Stocks,USD,ANET,-,-100,1,232.29138917,-23229.138917,290.57,-29057,-5827.861083,
Open Positions,Data,Lot,Stocks,USD,ANET,"2020-11-06, 16:20:00",-100,,232.29138917,-23229.138917,290.57,-29057,-5827.861083,ST
Open Positions,Data,Summary,Stocks,USD,ANTM,-,-100,1,303.04032559,-30304.032559,321.09,-32109,-1804.967441,
Open Positions,Data,Lot,Stocks,USD,ANTM,"2020-11-06, 16:20:00",-100,,303.04032559,-30304.032559,321.09,-32109,-1804.967441,ST
Open Positions,Data,Summary,Stocks,USD,CAH,-,-100,1,50.9958959,-5099.58959,53.56,-5356,-256.41041,
Open Positions,Data,Lot,Stocks,USD,CAH,"2020-11-06, 16:20:00",-100,,50.9958959,-5099.58959,53.56,-5356,-256.41041,ST
Open Positions,Data,Summary,Stocks,USD,CL,-,-100,1,82.49079975,-8249.079975,85.51,-8551,-301.920025,
Open Positions,Data,Lot,Stocks,USD,CL,"2020-11-06, 16:20:00",-100,,82.49079975,-8249.079975,85.51,-8551,-301.920025,ST
Open Positions,Data,Summary,Stocks,USD,CNC,-,-100,1,66.49115335,-6649.115335,60.03,-6003,646.115335,
Open Positions,Data,Lot,Stocks,USD,CNC,"2020-11-06, 16:20:00",-100,,66.49115335,-6649.115335,60.03,-6003,646.115335,ST
Open Positions,Data,Summary,Stocks,USD,COP,-,500,1,41.773796234,20886.898117,39.99,19995,-891.898117,
Open Positions,Data,Lot,Stocks,USD,COP,"2020-12-24, 16:20:00",500,,41.773796234,20886.898117,39.99,19995,-891.898117,ST
Open Positions,Data,Summary,Stocks,USD,CVS,-,300,1,69.98273612,20994.820836,68.3,20490,-504.820836,
Open Positions,Data,Lot,Stocks,USD,CVS,"2020-12-24, 16:20:00",300,,69.98273612,20994.820836,68.3,20490,-504.820836,ST
Open Positions,Data,Summary,Stocks,USD,CVX,-,200,1,88.21381966,17642.763932,84.45,16890,-752.763932,
Open Positions,Data,Lot,Stocks,USD,CVX,"2020-12-24, 16:20:00",200,,88.21381966,17642.763932,84.45,16890,-752.763932,ST
Open Positions,Data,Summary,Stocks,USD,ETSY,-,-200,1,144.99411839,-28998.823678,177.91,-35582,-6583.176322,
Open Positions,Data,Lot,Stocks,USD,ETSY,"2020-11-06, 16:20:00",-100,,146.48938535,-14648.938535,177.91,-17791,-3142.061465,ST
Open Positions,Data,Lot,Stocks,USD,ETSY,"2020-11-06, 16:20:00",-100,,143.49885143,-14349.885143,177.91,-17791,-3441.114857,ST
Open Positions,Data,Summary,Stocks,USD,EXPE,-,-100,1,120.61935708,-12061.935708,132.4,-13240,-1178.064292,
Open Positions,Data,Lot,Stocks,USD,EXPE,"2020-11-13, 16:20:00",-100,,120.61935708,-12061.935708,132.4,-13240,-1178.064292,ST
Open Positions,Data,Summary,Stocks,USD,GD,-,200,1,148.91593756,29783.187512,148.82,29764,-19.187512,
Open Positions,Data,Lot,Stocks,USD,GD,"2020-12-11, 16:20:00",200,,148.91593756,29783.187512,148.82,29764,-19.187512,ST
Open Positions,Data,Summary,Stocks,USD,HSY,-,-100,1,148.84323342,-14884.323342,152.33,-15233,-348.676658,
Open Positions,Data,Lot,Stocks,USD,HSY,"2020-11-06, 16:20:00",-100,,148.84323342,-14884.323342,152.33,-15233,-348.676658,ST
Open Positions,Data,Summary,Stocks,USD,LMT,-,100,1,363.41950386,36341.950386,354.98,35498,-843.950386,
