Statement,Header,Field Name,Field Value,,,,,,,,,,,,,,
Statement,Data,BrokerName,Interactive Brokers LLC,,,,,,,,,,,,,,
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830",,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,,
Statement,Data,Period,"January 1, 2023 - December 31, 2023",,,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2024-02-24, 02:44:21 EST",,,,,,,,,,,,,,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code,,,
Open Positions,Data,Summary,Stocks,USD,IEFA,-,400,1,66.120690545,26448.276218,70.35,28140,1691.723782,,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-05-20, 20:20:00",200,,65.59843574,13119.687148,70.35,14070,950.312852,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-05-18, 10:02:16",65,,63.735588569,4142.813257,70.35,4572.75,429.936743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-22, 10:46:26",15,,67.120650467,1006.809757,70.35,1055.25,48.440243,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-21, 11:32:43",15,,68.600650467,1029.009757,70.35,1055.25,26.240243,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-20, 10:43:51",15,,68.533550467,1028.003257,70.35,1055.25,27.246743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-19, 10:44:25",15,,67.746550467,1016.198257,70.35,1055.25,39.051743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-18, 09:30:00",15,,67.692550467,1015.388257,70.35,1055.25,39.861743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-14, 09:44:46",12,,68.332388083,819.988657,70.35,844.2,24.211343,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-14, 09:44:46",3,,68.3032,204.9096,70.35,211.05,6.1404,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-13, 10:25:48",15,,67.866550467,1017.998257,70.35,1055.25,37.251743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-12, 09:36:49",15,,68.023550467,1020.353257,70.35,1055.25,34.896743,LT,,,
Open Positions,Data,Lot,Stocks,USD,IEFA,"2022-04-11, 09:30:00",15,,68.474450467,1027.116757,70.35,1055.25,28.133243,LT,,,
Open Positions,Data,Summary,Stocks,USD,ISRG,-,100,1,248.4515212,24845.15212,337.36,33736,8890.84788,,,,
Open Positions,Data,Lot,Stocks,USD,ISRG,"2022-05-06, 20:20:00",100,,248.4515212,24845.15212,337.36,33736,8890.84788,LT,,,
Open Positions,Data,Summary,Stocks,USD,KHC,-,700,1,34.792718109,24354.902676,36.98,25886,1531.097324,,,,
Open Positions,Data,Lot,Stocks,USD,KHC,"2022-09-23, 20:20:00",700,,34.792718109,24354.902676,36.98,25886,1531.097324,LT,,,
Open Positions,Data,Summary,Stocks,USD,LOW,-,100,1,176.60623391,17660.623391,222.55,22255,4594.376609,,,,
Open Positions,Data,Lot,Stocks,USD,LOW,"2022-06-17, 20:20:00",100,,176.60623391,17660.623391,222.55,22255,4594.376609,LT,,,
Open Positions,Total,,Stocks,USD,,,,,,93308.954405,,110017,16708.045595,,,,
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,
Trades,Data,Order,Stocks,USD,AMD,"2023-07-07, 16:20:00",-,-700,110,113.58,77000,-0.7175,-46742.905241,31962.463165,-2506,A,C
Trades,Data,Trade,Stocks,USD,AMD,"2023-07-07, 16:20:00",--,-700,110,113.58,77000,-0.7175,-46742.905241,31962.463165,-2506,A,C
Trades,Data,ClosedLot,Stocks,USD,AMD,2022-09-30,,700,66.775578916,,,,46742.905241,31962.463165,,ST,
Trades,SubTotal,,Stocks,USD,AMD,,,-700,,,77000,-0.7175,-46742.905241,31962.463165,-2506,,
Trades,Data,Order,Stocks,USD,EXPE,"2023-07-07, 16:20:00",-,-100,107,114.33,10700,-0.1001,-12393.621876,-1548.344634,-733,A,C
Trades,Data,Trade,Stocks,USD,EXPE,"2023-07-07, 16:20:00",--,-100,107,114.33,10700,-0.1001,-12393.621876,-1548.344634,-733,A,C
Trades,Data,ClosedLot,Stocks,USD,EXPE,2022-05-20,,100,123.93621876,,,,12393.621876,-1548.344634,,LT,
Trades,SubTotal,,Stocks,USD,EXPE,,,-100,,,10700,-0.1001,-12393.621876,-1548.344634,-733,,
Trades,Data,Order,Stocks,USD,PSX,"2023-07-07, 16:20:00",-,-300,94,100.33,28200,-0.2691,-22619.408112,5820.916398,-1899,A,C
Trades,Data,Trade,Stocks,USD,PSX,"2023-07-07, 16:20:00",--,-300,94,100.33,28200,-0.2691,-22619.408112,5820.916398,-1899,A,C
Trades,Data,ClosedLot,Stocks,USD,PSX,2022-09-23,,300,75.39802704,,,,22619.408112,5820.916398,,ST,
Trades,SubTotal,,Stocks,USD,PSX,,,-300,,,28200,-0.2691,-22619.408112,5820.916398,-1899,,
Trades,Data,Order,Stocks,USD,SPY,"2023-06-13, 16:20:00",-,-600,433,437.18,259800,-2.1654,-240257.87426,19862.448804,-2508,A,C
Trades,Data,Trade,Stocks,USD,SPY,"2023-06-13, 16:20:00",--,-600,433,437.18,259800,-2.1654,-240257.87426,19862.448804,-2508,A,C
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-11,,7,444.163236714,,,,3109.142657,-74.405555,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-12,,7,442.618636714,,,,3098.330457,-63.593355,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-13,,7,439.297336714,,,,3075.081357,-40.344255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-14,,7,443.247336714,,,,3102.731357,-67.994255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-18,,7,435.898836714,,,,3051.291857,-16.554755,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-19,,7,442.077336714,,,,3094.541357,-59.804255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-20,,7,446.777336714,,,,3127.441357,-92.704255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-21,,7,446.897336714,,,,3128.281357,-93.544255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-22,,7,432.847336714,,,,3029.931357,4.805745,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-05-13,,100,421.08615059,,,,42108.615059,1244.772119,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-05-18,,37,401.606766405,,,,14859.450357,1181.302899,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-06-30,,400,388.682589328,,,,155473.035731,17940.512981,,ST,
Trades,SubTotal,,Stocks,USD,SPY,,,-600,,,259800,-2.1654,-240257.87426,19862.448804,-2508,,
Trades,Data,Order,Stocks,USD,UNP,"2023-12-06, 16:20:00",-,-100,225,231.49,22500,-0.1945,-20885.153964,1834.608086,-649,A,C
